"neighborhood","geoid","population","latitude","longitude","perceived_violence","svi","walkability","eviction_filing_rate","eviction_rate","perceived_sidewalk_qual","internet_access","easy_to_transit","rent_burdened","tree_canopy","litter","low_food_access","adult_loneliness","mental_health_need","disability","overall_health","perceived_safety","trust_law_enforce","trust_local_gov","high_school_grad","college_grad","preschool_enroll","unemployment","community_belonging","single_parent","poverty","percent_snap","percent_eligible_no_snap","public_assistance","foreign_born","limited_english_proficiency","nonhispanic_white","firearm_homicide","grade9_ed","roads_rail_airport_proximity_index","food_insecurity","medicaid","noncitizen","veteran","chicago_area","facet_area"
"Near West Side","28",67817,-87.663513,41.874016,31.24210211,46.1505363256788,16.6709952897387,1.48328400110397,0.440881507008283,59.310098539,91.909229104,85.712137933,39.3792004209307,14.6,52.545281531,16.3899040761542,35.38192317,73.814480614,9.15387074725945,88.700072109,58.855295017,63.035869073,49.522216455,94.4843316458394,68.4699859653201,60.5069192404472,7.0207886440304,31.139041589,4.68860087955319,17.8433676317796,12.3711549749438,70.0116751935698,2.6460954873877,17.2898030370326,1.55307852230553,44.2177300366974,12.5,97.731700673619,76.772255183659,23.3898738696216,13.9375228209075,10.8407754259838,2.32900049667683,"west","The West Side"
"North Lawndale","29",34817,-87.717218,41.860197,57.367758251,85.043081245849,13.8461386430651,5.26217290836799,2.18979136247217,41.314689975,78.963565124,75.125959658,61.4993712053667,17.7,21.436873865,22.3385451747269,23.61835098,86.542243511,19.5300729199389,80.103057515,40.6315572,42.350705993,30.853416033,79.9316290558947,15.4238699240986,42.7715093282589,15.0082673862293,41.009016357,17.2058964828153,36.0446721454267,44.0378249633934,29.9899631341588,6.97098592296808,5.72593607299191,2.06184619119161,4.93485571991429,92.3,92.5159745971725,61.0388530018423,33.7644781158249,44.6974594036573,3.86612375233569,3.00651539348714,"west","The West Side"
"Uptown","3",55120,-87.655899,41.965822,33.256931815,67.2023098010764,14.5317614186815,1.46787047828302,0.509793937996725,57.160298453,90.53351691,87.030534845,42.6416296621773,23.5,46.903309319,0.0159164152685014,42.82749675,69.196497684,13.4577294905989,88.094875795,71.554258552,45.253439739,43.335112045,90.4802549143922,58.2400181082506,74.3136522809981,4.64374410918074,46.185442081,3.02733719025991,19.7762035860165,15.2550386469901,60.1776588481156,4.2816937677351,23.3732201904804,5.18243820645094,52.8390503392379,1.6,95.3356513183931,76.9321971480367,18.181185205926,21.8694768147773,10.0583763807128,1.93074153426781,"north","The North Side"
"South Lawndale","30",71402,-87.714,41.839091,56.783398193,85.7586004727101,13.7064171076434,1.70106078770273,0.525674576234339,37.115662528,82.906226128,73.177298283,52.1764635403801,14.9,13.44136552,4.79340288387538,55.01605959,75.690926191,11.6023468839557,80.875111034,36.591514649,53.36207243,46.907914023,62.8633895195315,12.1481328678992,32.3688427773453,9.94704178548781,42.933500515,8.41933134930168,22.6963085809294,20.6200923339877,54.6295892679575,3.71919087418509,39.2754789259965,21.924427139132,4.89183535710649,19.9,76.2431065059744,62.2909270657786,20.1817960179602,35.1249716372975,23.3440432678905,1.01443588452039,"west","The West Side"
"Lower West Side","31",33716,-87.66757,41.850277,43.38097848,71.2349750406169,16.17647868396,1.09407234031053,0.320703524798054,37.433183467,93.633383436,73.237014885,34.8679610654116,10.6,25.933900761,12.095452726842,21.5031341,78.933234189,11.4802850606958,89.513212784,41.334152579,51.945958274,29.167884245,76.6926904772832,37.6279335596518,55.9248580857216,7.52614673831323,37.704253032,6.34693626891101,14.3127289252242,18.0343603959633,59.0237256668475,3.76926048709626,33.6275453123354,16.4891531498212,21.3091762225698,16,85.0054629164485,70.1551454082236,17.2033306033306,22.4242969057361,19.5647975800263,1.94097497533064,"west","The West Side"
"Loop","32",43440,-87.625194,41.878881,44.458842705,43.9012271382697,17.3339333070531,1.4002742280157,0.50195093530963,73.481324954,95.291781469,90.337823518,38.2619873234658,17.8,57.125953566,0.00345935920243558,34.90128026,74.486440328,6.75013321224987,95.047509413,65.599432307,58.954248837,48.278692917,97.190979987638,82.7880769493892,90.5646055152489,6.17414934704327,36.618135025,0.851565865994747,9.6905583854856,1.78866311398797,96.1819744973177,1.39902962132997,29.2867068837444,2.30777316743693,53.8070685677455,0,99.015120356372,77.9857453699918,13.9127095768544,5.15729864259867,16.7410755072988,2.14628434779862,"loop",NA
"Near South Side","33",27296,-87.620344,41.857196,48.024997224,27.0907040805084,16.4099042851993,3.58985162245842,1.0125164945781,74.503054685,93.213214867,86.918269237,34.6702760950309,13.8,60.354361716,3.93455820464246,23.20630735,76.392497418,7.78661725233512,98.722944268,63.571301081,74.118019606,54.443583678,95.4433259544385,80.9307512052698,74.8760818722434,1.98462655681165,47.49171596,4.20940407115792,7.34118667275723,11.3224934530957,68.122937412542,1.6233513111436,21.6070510935412,1.37455573052981,50.1010368349109,3.5,97.8341172984382,78,13.3090650362601,8.27812081621341,10.2082441047958,1.82720131242468,"south","The South Side"
"Armour Square","34",13847,-87.633976,41.842083,36.012207117,87.8047195261759,17.0758933233406,0.521824513666263,0.206393524814739,58.778122885,85.541184069,69.823997663,42.9278986612661,13.1,38.221932839,18.8411405047685,33.97262722,93.773275581,15.963666235417,82.43581014,39.906173883,57.004809748,47.044841286,68.4051861879148,28.5686559953414,72.6324851352513,8.04796495809767,52.84031579,8.83757399834138,20.0983251401248,26.3180252521325,46.4242517968735,4.67522266326531,48.0687162818801,33.7008418980444,17.1380623953086,22.9,76.7369024706732,77.9967762910073,30.153253493493,37.3014814097066,18.0156054598064,1.11712683511962,"south","The South Side"
"Douglas","35",20292,-87.61868,41.835122,37.941671773,73.9987844939911,13.6387180434372,3.86227505708547,1.58772363941187,53.530598783,90.51065229,82.926001472,43.1396601234153,21.6,53.531133843,36.5810693577971,21.78061491,66.609781218,18.2779707087693,93.354340507,46.284665147,53.293771853,53.750102264,88.3241995186145,41.2255850499563,47.5079150277575,14.4530442300645,40.45191666,8.49594129314335,27.8228748935617,27.7254404786106,52.9505665411479,3.9750666154303,21.9058072966386,1.5814407361004,10.2485623219216,23.1,96.1467807668129,78,29.4880035000875,30.0007803913465,16.4659452062356,3.35705220554277,"south","The South Side"
"Oakland","36",6803,-87.603217,41.823754,25.723269813,77.4102058362526,13.5713030217641,6.94376037979448,1.96935995502739,66.471169534,85.478495125,81.509347213,53.294528630059,18,57.403484839,7.80366305227681,31.16595416,88.261135136,13.8899113463309,93.618525619,69.091066934,52.744581011,56.34071871,90.2781103109462,37.0110128214466,95.9790769842048,21.6724932715998,60.251494291,18.9170493860018,35.763976842326,43.5007724847665,29.0699604843726,3.95432965178297,9.11384288720187,0.110698801971646,4.25266790365576,38.4,98.5319599381005,78,32.4057127914047,39.2388714104188,4.02284715431874,3.09024908925808,"south","The South Side"
